Datetime,Berthing angle (degrees),Berthing speed (cm/s),Vessel displacement (tonnes)
14/11/11 12:20,1.1,10,8312
31/10/11 11:45,-1.1,6,8616
14/11/11 10:45,0.8,7,10004
31/10/11 12:15,-1.0,7,10298
11/11/11 10:30,0.7,9,10531
10/11/11 09:30,0.9,9,11049
13/10/11 15:00,0.0,5,11317
16/11/11 11:35,0.8,6,11756
16/11/11 15:15,1.2,9,12689
1/11/11 12:30,0.0,5,12750
21/10/11 13:30,0.8,8,12926
11/11/11 11:10,-1.4,8,13369
19/10/11 17:00,0.5,4,13369
14/11/11 12:00,0.7,6,13927
19/10/11 14:00,0.5,4,14159
20/10/11 16:20,0.5,6,14640
21/10/11 12:00,-0.3,7,14675
1/11/11 10:15,-0.7,6,14853
17/10/11 15:05,0.0,5,14853
15/11/11 13:00,-0.9,6,14853
14/11/11 11:30,0.6,6,14854
1/11/11 10:45,0.0,5,15011
13/10/11 16:30,0.3,5,15314
15/11/11 09:40,-1.0,5,15397
25/11/11 17:15,0.6,8,15397
31/10/11 13:45,-0.7,8,15418
21/10/11 14:30,0.7,10,15485
1/11/11 12:03,-0.7,2,15485
26/10/11 07:45,0.5,5,15569
14/11/11 14:15,-0.9,5,17721
31/10/11 14:15,0.4,2,17859
9/11/11 13:00,-0.7,8,17907
19/10/11 13:40,0.8,5,19330
17/11/11 10:30,-1.0,8,19330
11/11/11 07:30,-1.1,6,19330
18/10/11 15:50,0.7,4,19634
1/11/11 08:15,-0.6,7,19798
24/10/11 12:56,0.1,9,21055
17/10/11 16:10,0.5,8,24181
24/10/11 13:00,0.8,5,24337
16/11/11 20:30,-1.0,7,25868
13/10/11 17:46,0.5,1,26006
24/11/11 17:45,0.1,3,26006
20/10/11 10:30,0.5,6,26404
12/10/11 15:15,0.5,4,26595
27/10/11 14:30,0.3,1,27067
17/11/11 12:30,0.8,6,28270
26/10/11 16:15,0.0,3,28447
22/11/11 15:42,0.8,5,29536
22/11/11 12:40,0.5,8,31390
14/11/11 15:30,0.5,4,34471
26/09/11 17:00,0.5,3,39905
12/10/11 13:00,0.1,3,39905
2/11/11 15:10,0.6,5,39905
5/12/11 10:36,0.3,5,42900
20/10/11 16:35,0.1,3,44196
4/11/11 11:00,0.4,5,45668
13/10/11 12:30,0.2,3,47494
25/11/11 15:03,0.3,5,47494
22/11/11 11:03,0.5,4,48068
8/12/11 15:20,0.4,3,48068
11/11/11 08:50,0.3,4,48409
2/12/11 11:46,0.4,8,48409
29/11/11 14:15,0.3,6,49775
24/10/11 11:45,0.2,4,50563
9/11/11 10:50,0.0,5,50604
24/11/11 18:15,0.1,4,50604
25/11/11 10:50,0.4,5,51811
3/11/11 15:50,0.0,2,55160
25/10/11 13:50,0.2,1,57244
22/11/11 14:26,0.1,3,57244
23/11/11 10:58,0.3,4,58379
20/10/11 11:30,0.3,1,65546
16/11/11 20:30,0.2,3,65546
11/10/11 18:55,1.5,3,66218
5/12/11 15:30,0.3,3,66218
5/12/11 14:05,0.2,6,66496
16/11/11 06:45,0.1,4,66496
22/11/11 14:45,0.2,3,66682
8/12/11 15:45,0.1,4,67578
1/12/11 15:36,0.5,8,68607
17/11/11 17:50,0.2,3,74161
9/11/11 19:45,0.2,4,74743
15/11/11 08:30,0.3,2,77532
29/11/11 11:09,0.5,7,77532
16/11/11 19:15,0.2,3,77856
1/11/11 14:30,0.2,1,79846
3/11/11 10:00,0.3,4,80141
31/10/11 07:00,0.0,4,81021
28/10/11 17:25,-0.3,3,81043
20/10/11 10:46,0.1,2,81093
22/11/11 14:00,0.2,3,81144
28/10/11 21:40,0.0,4,81213
30/11/11 07:02,0.1,3,81213
10/11/11 10:45,0.0,4,81485
24/11/11 10:35,0.3,4,83312
1/12/11 11:06,0.3,6,83312
18/10/11 11:40,0.7,3,87348
9/11/11 09:45,0.3,4,90820
26/10/11 10:30,-0.1,2,96616
29/11/11 16:58,0.2,6,96616
29/11/11 09:05,0.3,6,100066
23/11/11 17:05,0.1,2,100066
22/11/11 15:15,0.3,1,100756
4/11/11 09:30,-0.4,2,102640
18/11/11 15:25,0.5,3,102640
3/11/11 13:00,0.0,2,107821
12/10/11 10:50,0.3,1,108025
2/11/11 11:00,0.0,4,109864
26/10/11 12:35,-0.2,2,110820
8/11/11 11:50,-0.2,3,111010
23/11/11 11:30,0.3,1,111010
8/11/11 15:55,0.4,2,111041
1/12/11 14:10,0.3,7,111433
24/10/11 17:00,0.1,2,113003
31/10/11 08:15,0.7,3,113003
16/11/11 13:30,0.3,4,113003
2/11/11 13:15,0.3,1,114026
9/11/11 12:15,0.0,2,114026
2/12/11 17:32,0.2,5,114292
6/12/11 10:25,0.2,6,114315
11/10/11 18:00,0.0,2,114717
18/10/11 17:30,0.1,3,115660
1/11/11 07:20,0.4,2,119233
11/11/11 09:30,-0.3,3,128860
18/11/11 13:40,0.1,3,128860
4/11/11 10:00,0.0,3,128890
25/11/11 10:42,0.3,6,128890
2/12/11 11:04,0.2,3,128890
10/11/11 07:15,-0.3,3,133928
3/11/11 16:10,0.0,2,135663
23/11/11 07:47,0.1,2,137173
21/10/11 19:40,0.0,4,138807
25/10/11 17:05,0.2,1,141154
21/10/11 19:30,0.1,2,141599
25/11/11 14:12,0.2,4,141599
30/11/11 14:27,0.2,4,141599
2/12/11 12:41,0.2,5,142352
19/10/11 14:10,0.1,1,142457
6/12/11 14:46,0.1,5,143552
21/10/11 11:30,0.5,3,143590
8/11/11 16:10,0.0,2,144926
29/11/11 15:20,0.2,5,145126
15/11/11 16:05,0.2,2,145348
18/10/11 15:50,0.3,3,146197
13/10/11 20:30,0.1,2,146476
6/12/11 16:50,0.2,4,147035
20/10/11 19:30,0.1,2,147388
10/11/11 11:30,0.4,3,147388
25/11/11 08:56,0.2,5,147388
21/10/11 12:05,0.0,2,147591
25/10/11 16:05,0.1,1,148633
3/11/11 15:10,0.4,2,149614
11/10/11 15:00,0.1,1,151238
2/12/11 13:02,0.1,6,152760
17/11/11 18:15,0.1,2,152971
1/12/11 13:45,0.2,5,153135
2/11/11 08:00,-0.2,1,155083
14/11/11 16:30,0.2,2,157184
15/11/11 17:25,0.0,3,158280
2/12/11 09:32,0.1,2,160580
23/11/11 07:25,0.2,1,163644
18/11/11 16:05,0.3,2,165595
13/10/11 20:00,0.4,2,171452
17/11/11 18:45,0.4,2,175185
30/11/11 12:09,0.1,2,175185
16/11/11 07:50,0.3,2,186007
8/12/11 14:18,0.0,1,186007
17/11/11 15:05,0.3,2,186247
24/11/11 08:48,0.2,1,186247
30/11/11 16:15,0.1,2,186779
25/10/11 07:30,0.2,2,197585
8/12/11 11:18,0.1,2,197585
26/10/11 07:30,0.2,2,197585
30/11/11 16:42,0.1,1,197585
29/10/11 00:15,0.3,1,243652
21/10/11 17:15,0.5,3,250603
